,Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Participation in Extracurricular Activities,Parent Education Level,Passed
125,S00126,21.0,94.0,82.4,Yes,Bachelor,No
128,S00129,10.5,39.6,65.0,Yes,Master,Yes
129,S00130,7.5,73.3,61.8,No,Master,Yes
130,S00131,2.2,51.2,56.4,Yes,High School,No
131,S00132,10.3,78.2,48.8,No,Bachelor,No
132,S00133,4.7,98.7,85.4,No,Master,Yes
133,S00134,12.4,55.4,34.1,No,Bachelor,No
134,S00135,5.4,79.8,85.0,No,High School,No
136,S00137,6.1,79.4,73.1,No,Associate,Yes
137,S00138,8.4,64.5,56.2,Yes,Bachelor,Yes
140,S00141,11.1,80.3,29.0,Yes,Associate,Yes
141,S00142,16.5,74.9,76.9,No,Associate,No
143,S00144,10.9,85.3,80.8,No,Bachelor,Yes
144,S00145,11.3,50.9,74.4,Yes,High School,Yes
149,S00150,11.5,54.2,60.0,No,High School,No
150,S00151,11.3,73.0,61.6,Yes,Master,Yes
153,S00154,11.2,86.1,97.8,No,Bachelor,Yes
154,S00155,11.5,17.2,63.7,Yes,Bachelor,No
155,S00156,6.4,78.6,47.8,No,Associate,No
156,S00157,19.3,66.9,63.2,Yes,Master,No
158,S00159,4.0,37.2,94.4,Yes,Bachelor,Yes
160,S00161,5.1,37.0,74.5,No,Bachelor,No
161,S00162,13.9,64.0,72.7,No,Master,Yes
165,S00166,12.1,70.8,65.7,No,High School,No
166,S00167,14.1,74.1,46.6,No,Master,No
168,S00169,8.8,96.1,91.9,No,Bachelor,No
170,S00171,5.6,93.4,63.4,No,Bachelor,No
172,S00173,9.6,97.7,55.9,No,High School,No
173,S00174,11.7,95.4,70.1,No,Master,Yes
174,S00175,11.4,70.4,60.5,Yes,Bachelor,No
176,S00177,10.1,80.5,70.9,Yes,Associate,Yes
178,S00179,8.7,71.3,62.0,Yes,Bachelor,Yes
181,S00182,5.7,95.4,66.5,No,Associate,Yes
183,S00184,12.4,66.1,49.7,Yes,Associate,No
184,S00185,8.9,58.6,94.9,No,Associate,No
189,S00190,2.4,82.0,60.4,Yes,Associate,Yes
193,S00194,3.8,77.7,63.7,Yes,Bachelor,Yes
194,S00195,10.9,95.4,61.7,No,Associate,No
195,S00196,11.9,94.3,79.2,No,High School,No
197,S00198,10.8,86.2,95.8,No,Master,Yes
198,S00199,10.3,58.1,97.2,No,High School,Yes
200,S00201,11.8,80.0,59.6,No,Associate,Yes
201,S00202,12.8,91.3,64.3,Yes,Bachelor,Yes
202,S00203,15.4,57.5,55.4,Yes,Associate,Yes
204,S00205,3.1,75.1,82.8,No,Master,Yes
205,S00206,5.3,91.8,84.3,Yes,Associate,Yes
206,S00207,12.6,81.2,61.9,No,Bachelor,No
207,S00208,12.6,77.5,61.7,No,Associate,Yes
208,S00209,12.6,79.7,35.1,No,Bachelor,Yes
211,S00212,15.7,34.7,48.4,No,Master,No
213,S00214,13.3,75.9,60.4,No,High School,No
214,S00215,8.4,71.5,64.6,Yes,Associate,No
215,S00216,13.8,27.7,85.4,No,Bachelor,Yes
218,S00219,7.6,58.3,71.4,No,Associate,No
219,S00220,10.4,75.8,53.0,Yes,Associate,No
220,S00221,21.6,69.1,67.2,Yes,Bachelor,Yes
222,S00223,13.4,76.8,57.7,Yes,Bachelor,Yes
223,S00224,1.9,86.6,50.2,Yes,Bachelor,Yes
224,S00225,7.6,64.0,65.8,Yes,Associate,Yes
227,S00228,4.6,95.9,55.8,No,Associate,No
228,S00229,6.4,72.9,67.0,Yes,Master,Yes
232,S00233,10.2,66.3,69.9,Yes,High School,No
233,S00234,6.7,61.3,59.4,Yes,Associate,No
237,S00238,10.9,89.6,65.2,Yes,Master,No
239,S00240,14.3,60.6,39.4,Yes,High School,No
241,S00242,9.4,77.8,65.7,Yes,Bachelor,No
242,S00243,12.5,31.2,54.4,No,Associate,No
245,S00246,8.3,42.3,65.5,No,Associate,Yes
248,S00249,18.8,93.8,43.0,No,Bachelor,Yes
249,S00250,12.0,45.6,34.7,No,Master,No
250,S00251,3.7,42.8,28.2,No,Master,Yes
252,S00253,20.6,58.6,49.2,Yes,Associate,No
253,S00254,15.2,64.5,72.5,No,Master,No
255,S00256,7.6,51.6,73.9,Yes,High School,No
256,S00257,16.3,69.7,61.6,No,Bachelor,No
257,S00258,6.5,92.8,92.7,Yes,Bachelor,Yes
258,S00259,12.2,46.6,58.1,No,Master,No
259,S00260,13.9,65.0,51.5,Yes,Master,No
261,S00262,9.7,59.5,76.6,No,Master,Yes
264,S00265,8.7,80.2,40.6,No,Bachelor,Yes
265,S00266,3.8,85.6,34.2,Yes,Master,Yes
266,S00267,18.2,85.1,59.8,No,Associate,No
268,S00269,7.8,79.8,71.2,Yes,Associate,No
269,S00270,10.7,49.1,70.3,Yes,Bachelor,Yes
270,S00271,17.2,55.8,69.6,Yes,Bachelor,No
271,S00272,2.8,73.3,83.4,Yes,Master,Yes
277,S00278,7.0,74.3,60.7,Yes,Master,No
281,S00282,13.3,57.1,32.5,Yes,High School,No
283,S00284,3.8,77.8,55.2,No,Associate,Yes
285,S00286,0.2,69.4,62.1,No,High School,Yes
288,S00289,11.4,47.7,81.0,No,High School,No
292,S00293,7.1,68.7,56.4,Yes,Associate,No
293,S00294,14.2,65.4,56.0,Yes,Bachelor,No
294,S00295,11.8,63.7,59.5,No,Bachelor,Yes
295,S00296,6.5,65.6,52.2,Yes,High School,Yes
296,S00297,14.5,87.1,71.2,No,High School,No
298,S00299,14.1,94.7,64.8,Yes,Associate,Yes
299,S00300,13.1,84.3,60.4,Yes,Associate,No
302,S00303,13.7,98.9,59.7,Yes,High School,Yes
304,S00305,9.9,80.6,62.8,No,Bachelor,No
305,S00306,10.6,83.5,75.1,Yes,Master,Yes
306,S00307,16.4,51.9,53.3,No,High School,No
308,S00309,12.7,85.6,36.5,No,Associate,Yes
309,S00310,9.0,87.6,48.9,Yes,Master,No
311,S00312,15.5,29.0,58.4,No,Associate,Yes
312,S00313,14.1,69.7,35.6,No,Bachelor,No
314,S00315,16.5,58.5,51.8,Yes,Bachelor,No
316,S00317,13.4,68.2,70.5,No,Master,No
317,S00318,8.4,90.4,77.5,No,Master,No
322,S00323,5.9,77.0,48.2,Yes,High School,Yes
325,S00326,3.9,66.2,98.8,Yes,Master,Yes
326,S00327,15.8,85.6,72.8,No,Master,No
328,S00329,13.1,67.1,82.7,Yes,High School,Yes
329,S00330,13.1,40.6,78.3,Yes,Associate,Yes
330,S00331,9.9,57.3,43.2,No,Associate,Yes
332,S00333,10.4,41.1,66.5,Yes,High School,Yes
334,S00335,14.9,40.4,49.5,No,Master,Yes
335,S00336,9.3,59.5,62.8,Yes,Associate,Yes
336,S00337,5.9,67.5,64.8,Yes,Associate,Yes
340,S00341,5.9,56.3,67.9,No,Associate,Yes
341,S00342,11.2,85.4,62.9,No,Bachelor,No
343,S00344,7.5,70.4,58.1,Yes,Master,No
345,S00346,11.2,89.4,41.2,Yes,Associate,Yes
346,S00347,2.8,90.2,96.5,No,Bachelor,No
347,S00348,3.0,57.2,71.3,No,Master,No
348,S00349,6.4,62.5,71.9,No,Bachelor,No
349,S00350,8.9,60.5,49.0,No,Master,No
351,S00352,17.4,93.1,72.7,No,Associate,No
352,S00353,14.3,78.9,59.7,Yes,Bachelor,No
353,S00354,9.2,31.2,69.0,Yes,Bachelor,No
355,S00356,5.0,48.0,44.9,Yes,Associate,Yes
356,S00357,9.9,60.7,81.7,Yes,High School,Yes
358,S00359,11.6,73.3,78.6,Yes,Master,No
362,S00363,9.5,68.8,61.8,No,High School,No
363,S00364,12.0,94.5,76.4,Yes,Master,Yes
364,S00365,13.5,87.6,89.5,Yes,Associate,No
368,S00369,10.5,90.8,66.3,Yes,Master,Yes
374,S00375,20.8,71.6,65.7,No,Bachelor,Yes
375,S00376,6.2,62.5,64.3,No,High School,Yes
376,S00377,14.4,78.4,72.8,No,Associate,No
379,S00380,6.0,86.1,26.4,Yes,Associate,No
380,S00381,5.8,69.1,49.2,No,Associate,No
381,S00382,7.0,60.3,81.1,Yes,High School,No
383,S00384,7.4,90.4,85.0,No,Associate,Yes
384,S00385,6.2,76.6,58.4,Yes,Associate,No
386,S00387,11.7,98.4,76.1,No,Bachelor,Yes
389,S00390,7.1,55.7,65.6,Yes,Bachelor,Yes
390,S00391,5.5,88.1,64.2,No,Associate,No
391,S00392,12.5,30.5,47.7,Yes,High School,No
392,S00393,3.4,91.1,56.0,No,Bachelor,No
393,S00394,19.2,90.3,69.0,Yes,Master,Yes
394,S00395,15.9,56.5,61.7,No,High School,No
395,S00396,7.7,76.3,79.0,No,High School,No
397,S00398,16.8,83.6,79.2,Yes,Bachelor,Yes
401,S00402,7.0,96.9,55.7,Yes,Bachelor,No
404,S00405,7.7,86.4,41.7,Yes,Associate,No
406,S00407,4.7,78.6,69.0,Yes,Master,No
407,S00408,9.3,82.0,73.0,No,Associate,No
411,S00412,4.4,81.1,64.7,Yes,Master,Yes
415,S00416,6.3,77.9,58.9,No,Bachelor,No
416,S00417,17.8,78.4,60.3,Yes,High School,Yes
417,S00418,10.6,78.6,31.7,Yes,Bachelor,No
418,S00419,15.9,67.7,30.8,Yes,Bachelor,No
419,S00420,10.3,46.8,64.0,No,Bachelor,Yes
422,S00423,8.8,100.0,91.2,Yes,Bachelor,No
423,S00424,14.9,53.5,60.8,No,Bachelor,Yes
426,S00427,5.2,95.9,66.5,No,Associate,No
429,S00430,1.2,58.1,65.7,No,High School,No
432,S00433,8.7,63.1,65.4,Yes,Master,Yes
433,S00434,13.6,81.3,46.7,No,Associate,Yes
438,S00439,1.5,86.0,63.1,Yes,High School,Yes
439,S00440,9.7,90.0,70.2,Yes,Bachelor,No
440,S00441,11.9,91.3,60.5,Yes,Bachelor,Yes
441,S00442,9.8,80.0,54.2,Yes,High School,Yes
444,S00445,3.5,69.0,56.3,Yes,Master,No
447,S00448,5.3,73.8,67.2,No,Associate,No
450,S00451,9.7,86.2,50.5,Yes,Bachelor,No
453,S00454,12.5,87.2,61.9,No,High School,No
454,S00455,7.3,45.7,55.7,No,Associate,Yes
456,S00457,9.5,68.7,74.8,No,Master,Yes
458,S00459,7.2,81.7,62.4,No,Master,No
459,S00460,4.0,94.7,57.9,No,Associate,Yes
462,S00463,6.5,93.9,36.8,No,Associate,No
463,S00464,11.1,88.7,50.6,Yes,High School,Yes
466,S00467,13.1,87.0,48.7,No,High School,No
468,S00469,7.3,93.4,60.6,Yes,High School,Yes
470,S00471,8.6,58.6,64.8,No,Master,No
473,S00474,16.8,35.8,52.9,Yes,Master,Yes
475,S00476,8.8,78.0,61.1,Yes,High School,No
476,S00477,12.9,71.5,63.4,Yes,Associate,Yes
478,S00479,25.4,84.5,53.0,No,High School,Yes
480,S00481,9.4,62.3,57.9,Yes,Master,No
481,S00482,5.2,80.6,69.5,Yes,Master,Yes
482,S00483,2.0,98.3,79.2,No,High School,Yes
485,S00486,2.9,61.1,99.8,Yes,Bachelor,No
486,S00487,6.8,82.5,37.7,No,Associate,No
488,S00489,18.4,60.5,80.8,Yes,Master,No
489,S00490,14.4,95.5,93.7,No,Associate,Yes
492,S00493,10.4,81.0,58.5,Yes,Master,No
493,S00494,5.7,52.9,60.9,No,Associate,Yes
494,S00495,17.6,89.7,71.0,Yes,Bachelor,No
499,S00500,3.1,82.7,69.2,Yes,Bachelor,Yes
502,S00503,3.0,79.6,78.1,Yes,Master,Yes
503,S00504,12.8,76.2,68.9,Yes,Bachelor,Yes
504,S00505,6.7,94.6,88.2,Yes,Associate,No
508,S00509,10.2,72.4,53.1,No,Associate,Yes
510,S00511,11.4,48.2,82.9,No,Master,Yes
512,S00513,8.8,81.3,85.2,No,High School,No
516,S00517,12.5,83.1,62.2,No,Bachelor,No
518,S00519,10.5,92.8,68.6,Yes,Master,No
519,S00520,13.8,87.4,83.7,No,Master,Yes
521,S00522,12.7,63.4,65.3,Yes,High School,Yes
522,S00523,6.7,54.3,58.8,No,High School,No
523,S00524,12.9,51.2,63.2,No,High School,Yes
524,S00525,6.2,82.9,52.0,Yes,Bachelor,Yes
525,S00526,1.0,85.0,50.3,Yes,Bachelor,No
526,S00527,1.9,96.9,61.4,No,Master,No
528,S00529,11.3,96.0,75.9,No,Associate,Yes
529,S00530,5.5,72.4,48.1,No,High School,No
530,S00531,13.2,90.4,65.2,Yes,Associate,Yes
532,S00533,9.7,73.8,50.3,No,High School,Yes
534,S00535,6.7,75.6,76.4,No,Associate,No
535,S00536,10.2,99.5,64.1,Yes,Bachelor,Yes
536,S00537,5.7,76.4,34.7,No,Associate,No
537,S00538,8.1,89.4,76.6,Yes,Master,No
538,S00539,15.0,80.5,66.3,Yes,High School,Yes
541,S00542,4.4,98.6,63.1,Yes,High School,No
542,S00543,12.6,89.3,69.7,Yes,Master,No
543,S00544,17.2,62.6,80.4,No,Associate,Yes
546,S00547,12.9,63.4,78.3,Yes,Associate,Yes
547,S00548,9.0,71.5,80.7,Yes,High School,Yes
550,S00551,10.4,73.1,72.5,No,Bachelor,Yes
552,S00553,15.8,58.3,64.8,No,Master,No
553,S00554,11.3,69.5,64.6,No,Associate,Yes
555,S00556,7.9,62.7,72.1,No,High School,No
556,S00557,7.6,70.7,81.4,No,Bachelor,No
558,S00559,12.0,40.0,54.1,No,High School,Yes
560,S00561,11.4,59.3,43.2,No,High School,Yes
562,S00563,14.4,71.4,97.5,No,High School,Yes
565,S00566,8.0,82.0,39.1,No,Associate,Yes
567,S00568,5.0,32.8,80.9,Yes,Master,No
570,S00571,10.1,44.8,84.1,Yes,High School,No
571,S00572,18.4,75.2,57.5,No,High School,Yes
572,S00573,11.6,65.3,58.1,Yes,Associate,Yes
578,S00579,2.6,83.5,71.3,No,Master,No
580,S00581,11.7,80.2,71.8,No,Bachelor,No
586,S00587,7.7,97.8,55.5,No,Bachelor,No
588,S00589,14.2,62.8,72.0,No,Bachelor,Yes
590,S00591,10.4,81.0,64.5,Yes,High School,Yes
591,S00592,7.6,72.2,90.9,Yes,Master,Yes
594,S00595,15.2,61.2,67.2,No,Bachelor,No
597,S00598,5.1,57.9,52.6,No,Master,Yes
598,S00599,7.8,96.2,64.4,No,High School,No
601,S00602,5.4,79.5,62.8,No,High School,No
602,S00603,14.3,95.8,50.7,Yes,Bachelor,Yes
607,S00608,3.8,73.2,76.8,No,Associate,No
611,S00612,9.7,74.1,77.7,Yes,High School,No
615,S00616,10.6,80.9,75.2,No,Master,No
617,S00618,13.6,89.5,49.8,No,Master,Yes
622,S00623,19.4,70.3,84.6,Yes,Master,No
623,S00624,16.7,84.4,54.6,Yes,Master,No
624,S00625,18.0,74.3,59.3,No,Bachelor,Yes
625,S00626,7.4,69.4,44.2,No,Master,No
628,S00629,10.3,52.9,65.6,No,Master,Yes
631,S00632,17.6,55.4,67.5,Yes,Master,No
636,S00637,14.1,70.4,77.0,Yes,High School,No
639,S00640,3.5,83.5,66.8,No,Associate,Yes
643,S00644,2.5,37.7,73.8,No,Associate,Yes
647,S00648,9.7,87.3,66.6,Yes,Bachelor,No
648,S00649,8.8,47.8,62.6,Yes,Bachelor,Yes
651,S00652,15.6,60.9,74.1,No,Associate,Yes
653,S00654,4.5,57.7,68.6,No,Master,Yes
654,S00655,22.9,60.1,64.8,Yes,High School,Yes
655,S00656,10.3,91.4,67.6,No,Bachelor,No
656,S00657,10.1,98.3,60.9,No,High School,Yes
659,S00660,9.3,38.2,58.9,No,Master,Yes
662,S00663,9.8,39.4,70.8,No,Associate,Yes
663,S00664,7.3,54.7,96.0,Yes,High School,Yes
665,S00666,10.5,91.9,37.5,Yes,Bachelor,Yes
666,S00667,8.7,56.2,83.1,No,Associate,No
670,S00671,16.2,84.4,55.3,Yes,Associate,No
672,S00673,8.3,82.4,64.8,No,High School,Yes
677,S00678,18.8,57.0,79.2,Yes,Master,No
678,S00679,14.7,73.4,47.8,No,Associate,Yes
679,S00680,16.4,61.7,74.4,Yes,Associate,Yes
684,S00685,3.9,96.5,42.5,Yes,Bachelor,No
685,S00686,13.6,87.4,66.1,Yes,High School,No
689,S00690,12.2,61.0,69.3,No,Associate,No
690,S00691,8.2,47.5,66.8,Yes,High School,No
691,S00692,15.8,77.3,72.6,No,High School,Yes
694,S00695,13.0,93.1,69.2,No,Associate,No
695,S00696,8.5,64.8,80.5,Yes,Bachelor,No
698,S00699,14.6,77.8,54.8,No,High School,Yes
700,S00701,7.4,57.0,59.4,No,Bachelor,Yes
701,S00702,15.2,71.0,63.8,Yes,Master,No
702,S00703,6.5,61.1,38.4,No,High School,Yes
704,S00705,2.2,88.5,64.5,Yes,Associate,No
706,S00707,3.6,85.2,53.5,No,Associate,Yes
710,S00711,11.1,70.6,67.1,No,Master,No
711,S00712,9.5,57.6,64.5,No,Master,No
712,S00713,7.3,96.1,65.2,Yes,Master,No
713,S00714,12.0,71.0,75.2,No,High School,No
714,S00715,9.8,90.3,89.3,No,High School,Yes
716,S00717,10.6,61.2,48.7,No,High School,Yes
718,S00719,8.2,92.5,73.0,No,Bachelor,Yes
720,S00721,11.5,81.1,64.1,No,Associate,No
721,S00722,1.4,81.6,70.7,No,High School,Yes
722,S00723,3.3,60.8,61.3,No,Bachelor,Yes
724,S00725,10.9,43.4,47.9,No,Bachelor,Yes
727,S00728,11.7,75.6,93.3,Yes,Master,No
728,S00729,7.3,76.6,58.0,Yes,Associate,No
730,S00731,11.0,85.7,36.6,Yes,Associate,No
731,S00732,5.1,86.7,57.4,Yes,Associate,No
732,S00733,12.0,90.8,67.7,No,Bachelor,No
733,S00734,1.5,77.5,26.7,Yes,Associate,No
734,S00735,15.1,67.2,87.8,No,Bachelor,No
735,S00736,12.4,63.9,54.6,No,High School,Yes
737,S00738,14.9,66.9,71.7,No,Associate,No
738,S00739,18.3,62.9,41.1,No,Bachelor,No
741,S00742,3.6,95.7,59.9,Yes,Associate,No
743,S00744,10.1,70.9,68.1,No,Associate,Yes
746,S00747,10.9,59.0,86.0,Yes,Bachelor,Yes
747,S00748,6.2,50.2,82.5,Yes,High School,Yes
748,S00749,6.9,67.4,56.7,Yes,High School,No
749,S00750,3.0,56.8,60.8,Yes,Bachelor,Yes
751,S00752,3.2,63.3,82.7,No,Master,Yes
753,S00754,15.3,68.3,89.4,Yes,Master,No
754,S00755,5.3,91.1,51.0,No,High School,Yes
756,S00757,12.5,70.4,44.2,Yes,Associate,No
758,S00759,5.7,74.7,47.4,No,Associate,No
759,S00760,13.5,83.3,47.7,No,Bachelor,Yes
762,S00763,22.8,74.0,69.3,Yes,Associate,No
765,S00766,6.5,56.3,58.5,Yes,Bachelor,Yes
766,S00767,9.8,81.8,60.6,No,High School,Yes
767,S00768,18.9,74.1,45.5,Yes,Master,Yes
768,S00769,6.9,74.1,80.3,No,High School,No
774,S00775,13.1,90.2,57.6,No,Bachelor,No
775,S00776,2.1,36.8,85.7,No,High School,Yes
777,S00778,8.8,63.9,71.8,Yes,Associate,No
779,S00780,13.1,89.6,81.2,Yes,Bachelor,No
780,S00781,10.9,74.6,71.7,No,Master,No
782,S00783,11.9,71.7,56.1,Yes,Master,Yes
784,S00785,12.8,69.6,89.2,No,Associate,Yes
785,S00786,15.4,57.5,79.4,No,Master,Yes
786,S00787,14.2,66.9,43.6,Yes,High School,No
787,S00788,12.3,50.9,65.2,No,Bachelor,Yes
788,S00789,9.6,82.7,80.3,No,Master,No
792,S00793,11.4,66.9,66.0,Yes,Bachelor,Yes
793,S00794,3.6,81.3,80.3,No,Master,No
794,S00795,4.6,73.9,50.1,Yes,High School,Yes
795,S00796,15.3,98.2,33.0,No,Master,No
797,S00798,13.4,69.6,71.8,Yes,Associate,No
799,S00800,10.1,57.8,49.8,Yes,Associate,No
800,S00801,14.7,71.1,69.0,No,Bachelor,Yes
801,S00802,7.4,93.3,55.4,Yes,Bachelor,No
802,S00803,10.5,58.6,76.0,No,Master,Yes
803,S00804,7.7,90.3,63.0,No,Associate,No
807,S00808,7.6,73.2,58.4,No,Master,Yes
808,S00809,16.3,55.0,54.3,No,Associate,No
809,S00810,5.5,67.2,60.7,Yes,Master,Yes
812,S00813,17.2,81.4,83.9,No,Bachelor,Yes
814,S00815,15.2,82.0,63.4,Yes,High School,Yes
816,S00817,11.3,71.0,31.9,No,Master,Yes
817,S00818,14.4,78.3,56.0,No,Associate,No
819,S00820,15.3,66.2,76.5,Yes,Master,No
821,S00822,17.0,94.8,45.2,No,Master,Yes
822,S00823,21.5,99.1,73.2,Yes,Associate,Yes
823,S00824,8.2,59.7,69.8,No,High School,No
824,S00825,7.8,82.0,48.0,No,Master,No
829,S00830,8.6,71.2,89.7,Yes,Bachelor,Yes
831,S00832,5.4,30.8,48.5,Yes,Master,Yes
832,S00833,5.0,54.1,92.3,No,Master,No
838,S00839,14.9,95.4,71.3,Yes,Master,No
839,S00840,8.9,43.8,48.8,No,Associate,Yes
840,S00841,9.8,46.1,93.2,No,Associate,No
842,S00843,4.4,58.0,37.0,Yes,Bachelor,No
843,S00844,11.9,80.4,58.3,Yes,Master,No
845,S00846,12.5,71.9,63.3,No,Bachelor,No
848,S00849,6.8,94.1,74.9,No,Associate,Yes
849,S00850,7.3,27.9,90.4,No,Associate,No
850,S00851,6.9,87.7,39.0,No,Bachelor,No
852,S00853,6.8,67.8,53.7,No,Bachelor,Yes
854,S00855,17.1,65.1,87.6,Yes,Associate,Yes
855,S00856,7.1,42.8,69.1,Yes,Associate,Yes
858,S00859,7.2,76.5,82.6,No,Master,No
860,S00861,11.0,85.0,69.1,No,Master,Yes
861,S00862,2.4,70.1,59.9,No,High School,Yes
864,S00865,6.9,50.6,54.6,Yes,Bachelor,Yes
869,S00870,20.1,71.8,65.1,No,Master,No
870,S00871,9.1,65.4,56.8,Yes,Bachelor,Yes
871,S00872,6.0,62.0,61.3,No,Bachelor,No
876,S00877,7.4,26.2,45.5,Yes,High School,Yes
878,S00879,9.9,76.1,63.6,No,High School,Yes
880,S00881,22.6,85.0,45.2,Yes,Associate,No
881,S00882,7.3,71.3,66.1,No,High School,Yes
885,S00886,19.2,67.8,90.5,Yes,Bachelor,No
890,S00891,14.1,51.6,30.6,No,High School,Yes
891,S00892,12.5,83.1,50.2,Yes,Master,No
894,S00895,16.9,59.8,67.3,Yes,Associate,Yes
897,S00898,10.7,42.5,89.9,No,Bachelor,Yes
898,S00899,16.0,82.4,74.1,Yes,Master,No
899,S00900,5.9,63.6,61.4,No,High School,Yes
902,S00903,10.1,59.1,31.4,No,Bachelor,Yes
903,S00904,16.4,87.3,47.0,Yes,Bachelor,No
908,S00909,13.2,96.0,77.6,Yes,Master,Yes
910,S00911,8.5,57.4,83.2,Yes,Bachelor,Yes
911,S00912,11.1,49.3,65.4,No,High School,No
916,S00917,13.0,82.6,65.0,Yes,Bachelor,Yes
917,S00918,10.9,76.7,40.4,Yes,Bachelor,Yes
918,S00919,7.8,76.1,79.1,No,High School,No
921,S00922,4.9,63.3,52.0,Yes,Bachelor,No
922,S00923,10.7,97.2,76.3,No,Bachelor,Yes
923,S00924,6.5,99.6,54.6,Yes,Bachelor,Yes
927,S00928,11.9,45.4,45.5,Yes,Associate,No
928,S00929,17.8,43.6,84.5,No,Associate,No
930,S00931,7.2,53.0,52.1,Yes,Associate,No
932,S00933,2.8,33.5,63.5,No,High School,Yes
934,S00935,12.2,82.5,87.7,Yes,Master,No
935,S00936,7.5,84.1,87.3,Yes,Master,No
936,S00937,4.9,92.0,56.8,Yes,Bachelor,No
939,S00940,7.2,91.9,38.6,No,Bachelor,Yes
940,S00941,3.6,84.3,65.7,No,Bachelor,Yes
941,S00942,14.4,63.3,63.7,Yes,Bachelor,Yes
942,S00943,13.3,81.0,74.7,No,Master,No
943,S00944,9.5,35.3,73.1,No,High School,Yes
947,S00948,6.5,55.5,78.2,Yes,Master,No
949,S00950,11.2,66.4,61.9,No,High School,No
950,S00951,8.8,63.8,64.8,No,Associate,Yes
951,S00952,11.8,82.5,56.4,No,Bachelor,No
952,S00953,3.7,66.6,78.9,Yes,High School,No
955,S00956,15.6,87.6,62.5,No,High School,Yes
956,S00957,11.7,73.3,38.5,No,Bachelor,Yes
961,S00962,16.6,95.0,47.7,Yes,Bachelor,No
962,S00963,11.0,75.9,41.4,Yes,Associate,No
966,S00967,6.6,66.8,79.6,No,Associate,No
967,S00968,19.0,53.3,86.3,Yes,Bachelor,No
968,S00969,9.8,87.4,49.1,No,Associate,No
